study   gradient        a_bot   a_bot_err       a_top   a_top_err
Nominal -299.9952 0.511501620405122 0.0018416379710911 0.63949859173233 0.00184541433419777
Nominal -249.99600000000004 0.572446351128329 0.00190730187190102 0.688679930447192 0.0018116111666639
Nominal -199.9968 0.633193929401273 0.00188068361560034 0.739493915702815 0.00179997220253492
Nominal -149.9976 0.698429412842409 0.00191694152444527 0.774850853118052 0.00181932336955976
Nominal -99.9984 0.762843553930721 0.00195119725584519 0.796971429950493 0.00184060399033081
Nominal -49.9992 0.817573937410065 0.00205082827478964 0.816084255680362 0.00212462504202304
Nominal -24.9996 0.83875189293523 0.00188676175282576 0.821847420359705 0.00182563552205711
Nominal -9.9932 0.850040790743936 0.002216938489979 0.826843255947259 0.00188930466956594
Nominal -4.9966 0.859533114478233 0.00238438968982563 0.828625994944077 0.00198576038432985
Nominal -1.992 0.859011667782186 0.00253731808585878 0.828618932530914 0.00208235950636426
Nominal 0.0 0.865182437539558 0.00264997400080702 0.823354863150182 0.00219749792233409
Nominal 0.0 0.859244429564835 0.00274222135643654 0.819959209944497 0.00230202858906886
Nominal 0.0 0.862844610818272 0.0018993251108923 0.827361183217059 0.00183538061721578
Nominal 0.0 0.858195964399532 0.00210577568273101 0.826334345286276 0.0020808985137909
Nominal 0.0 0.859442067319619 0.00183205577527878 0.824966292558108 0.00178716403555546
Nominal 1.992 0.860396323890626 0.0018549717958104 0.834000711070832 0.00179291061696391
Nominal 4.9966 0.863612159778341 0.00214159962850191 0.82661194684827 0.00209421096734907
Nominal 9.9932 0.86328183845618 0.00200644009236262 0.825906828839809 0.00182126635150825
Nominal 24.9996 0.852666776163362 0.00188025343682346 0.831359298936093 0.00186253213276744
Nominal 49.9992 0.826888860964639 0.00215249505917064 0.822940396790604 0.00184088554210415
Nominal 99.9984 0.782004275994209 0.00230879935638223 0.804169701827633 0.00194054779658553
Nominal 149.9976 0.717868433728551 0.00246105200122426 0.775604237065095 0.00223858018279
Nominal 199.9968 0.652633703627055 0.00257823308685257 0.736021399188611 0.0021532484719885
Nominal 249.99600000000004 0.592079645931375 0.00268644688880887 0.69080398876611 0.0022607980031697
Nominal 299.9952 0.527340725145753 0.00189280773677047 0.648007917940789 0.00181713685984969
