study   gradient        a_bot   a_bot_err       a_top   a_top_err
Nominal -97.64618 0.0248098483429922 0.00334560986417429 0.0319986527540574 0.00329258818757594
Nominal -73.23422 0.10923939424957 0.00336223807247482 0.109705449312175 0.00333148566776154
Nominal -48.82226 0.358361275519028 0.00322577614477382 0.355748271992444 0.00319444994340648
Nominal -24.4103 0.729799372441222 0.00250508952332962 0.685700476866085 0.00257154027017836
Nominal -9.764119999999998 0.883478258879425 0.00196689430543828 0.807640642690945 0.00220795200174839
Nominal -4.882059999999999 0.898764441077254 0.00180621365811462 0.822596431692786 0.00216742748972421
Nominal 0.0 0.89785731364504 0.00178779796146639 0.816467329749841 0.00216282301659487
Nominal 0.0 0.894696680141965 0.00169162445529569 0.813396365215659 0.00228691273615894
Nominal 0.0 0.898881577479535 0.00191982755524267 0.812067511161029 0.00261037117815316
Nominal 0.0 0.908212305020845 0.00212446401397903 0.812438109173746 0.00223798107903983
Nominal 0.0 0.901019035591703 0.00166206273880981 0.804955057374716 0.00212454419215935
Nominal 4.882059999999999 0.865999505225336 0.00208628193190241 0.795467071177349 0.00230212973075888
Nominal 9.764119999999998 0.840144152572402 0.00213990131115993 0.759882889584443 0.00247429431127227
Nominal 24.4103 0.63500276463455 0.00258944901987551 0.600659248171911 0.00269802685581239
Nominal 48.82226 0.277814099719544 0.00285152481981563 0.274594411677995 0.00297573066498613
Nominal 73.23422 0.0725537935218582 0.00293727454016149 0.0801725084599805 0.00305529150396466
Nominal 97.64618 0.0177171185741773 0.0029505260667585 0.0141320579670398 0.00307484242404366
75scut -97.64618 0.0242374602666197 0.00336250927605097 0.0307400610042492 0.00344433995696011
75scut -73.23422 0.109287994375439 0.00338095183587656 0.11548468751325 0.00348811356905981
75scut -48.82226 0.359681753020747 0.00324212410649669 0.370330753056474 0.00333293367866067
75scut -24.4103 0.732775045146553 0.00251134906803974 0.712519747638133 0.00262478311301606
75scut -9.764119999999998 0.887961318075357 0.00195342536981646 0.839779459969527 0.00218702910486135
75scut -4.882059999999999 0.902474765205055 0.00179384447545949 0.855729381278145 0.00213448327953536
75scut 0.0 0.902152727558361 0.00176996899918669 0.848271593114055 0.00214086972485861
75scut 0.0 0.897654885748755 0.00168446013149276 0.847608638051578 0.00225616518113519
75scut 0.0 0.90277909222911 0.00190652912602435 0.846714077108984 0.00259702655667415
75scut 0.0 0.912758079740766 0.00210547886737883 0.84498519092965 0.00220849465211659
75scut 0.0 0.905516748858315 0.00164740617089176 0.83638315638791 0.00209953020192211
75scut 4.882059999999999 0.870909698819877 0.00207478260289579 0.826568908078601 0.00228703177903983
75scut 9.764119999999998 0.843948471243837 0.00213485399091079 0.789293531752393 0.00248887883228976
75scut 24.4103 0.637597143150689 0.00259703576596093 0.62527214593845 0.00277227590294032
75scut 48.82226 0.278730520069846 0.00286463741898743 0.284567916755154 0.00310337781666761
75scut 73.23422 0.0730500576032317 0.00295136093057399 0.0848906327205253 0.00319590862747532
75scut 97.64618 0.0184052443021933 0.00296488013765819 0.0155257986224356 0.00321857527812514
