study   gradient        a_bot   a_bot_err       a_top   a_top_err
Nominal -4.999982999999999 0.315392735202772 0.00296914705088924 0.296546761743257 0.00304345622056998
Nominal -1.9999590000000003 0.770580404724381 0.00218863662712493 0.706038989297685 0.0024028471480636
Nominal -0.999951 0.881477594145401 0.00184743510696317 0.79032320069412 0.00219889717037486
Nominal -0.4999470000000001 0.90431633350744 0.00171590460741838 0.803753144318584 0.00215935005040346
Nominal -0.099978 0.90560896791515 0.00162573525438758 0.818063678634815 0.00205764370632178
Nominal -0.0 0.904529750954251 0.00164020747081201 0.804828197379355 0.00212308190440175
Nominal -0.0 0.90177733595555 0.00196327933070128 0.802142500176822 0.00219718215760556
Nominal -0.0 0.906817617774005 0.00175996082684171 0.804134952925007 0.00222505313168891
Nominal -0.0 0.900898379101349 0.00172647775309648 0.809928960220279 0.00220336439227908
Nominal -0.0 0.906162954934727 0.00174744473763555 0.802223953941856 0.00226324116645932
Nominal 0.099978 0.892835489819945 0.00176242825432565 0.811881817705339 0.00221096227626055
Nominal 0.4999470000000001 0.872204179561899 0.00191939441860772 0.798682058814277 0.0021924350377418
Nominal 0.999951 0.841220231458184 0.00206028201395081 0.76724249357615 0.00229333284840311
Nominal 1.9999590000000003 0.711925847892175 0.00239053655518168 0.684487867861323 0.00257918461981738
Nominal 4.999982999999999 0.26646664021944 0.00306776903430395 0.275845072985485 0.00311674179485713
75scut -4.999982999999999 0.317178238106746 0.00298210695479309 0.31029803820219 0.0031749549610256
75scut -1.9999590000000003 0.774274357982075 0.00218862845260809 0.734159475203159 0.0024384778013492
75scut -0.999951 0.884624714821362 0.00184336967403242 0.821426869781606 0.00219017219803969
75scut -0.4999470000000001 0.906959919785618 0.00171200788750037 0.836763148769626 0.00213742602361988
75scut -0.099978 0.908867959639578 0.00161696809444989 0.847505308732696 0.00203851011251915
75scut -0.0 0.907667301206647 0.00162814098226138 0.837026157404183 0.00209605843383553
75scut -0.0 0.905583753787114 0.00195468974098106 0.836992443741963 0.00215787469224771
75scut -0.0 0.909922278557706 0.00175136616724098 0.83745513986086 0.00220918074213533
75scut -0.0 0.9048780358946 0.00171522100988919 0.842642396826689 0.00217078308569063
75scut -0.0 0.908837575456255 0.0017425591412365 0.835553758796855 0.00224270569109591
75scut 0.099978 0.895388186856854 0.00176378544552336 0.84240103052477 0.0021943271810817
75scut 0.4999470000000001 0.874714260237593 0.00191943490555557 0.832722347462595 0.00216382403899723
75scut 0.999951 0.845519919982297 0.00205212131594013 0.797298942038701 0.00229562261380029
75scut 1.9999590000000003 0.713643782595784 0.00239819314891482 0.709894103646902 0.00263324575429325
75scut 4.999982999999999 0.267625814966383 0.00308184547944565 0.29217944181478 0.00324746395459977
Newbkg -4.999982999999999 0.316100391527939 0.00297218980512298 0.30193125159103 0.00305262888847027
Newbkg -1.9999590000000003 0.773259796624712 0.00217679267998339 0.703768072415466 0.00241330089528036
Newbkg -0.999951 0.880758130053669 0.0018540578535915 0.801299651491293 0.00217397875240288
Newbkg -0.4999470000000001 0.907450241096583 0.00170183444443422 0.812998169177106 0.00212553278213301
Newbkg -0.099978 0.907029179508028 0.00161546222590847 0.813367855469004 0.00208975466411648
Newbkg -0.0 0.905220671757129 0.00163291981465669 0.809591980998309 0.00210718418907424
Newbkg -0.0 0.90001022940131 0.00166808882114838 0.809436654227814 0.00214205982768828
Newbkg -0.0 0.907674583726908 0.00175656708379679 0.814269876576219 0.00218915910264239
Newbkg -0.0 0.903956427907366 0.00171765032470061 0.813414721900583 0.0021994751920702
Newbkg -0.0 0.910516282764984 0.0017262721336635 0.804853872870095 0.00225412769918787
Newbkg 0.099978 0.891808593820073 0.00178718413660289 0.812389698114821 0.00221052255068926
Newbkg 0.4999470000000001 0.871203683069664 0.0019311467065225 0.809396210236161 0.00216614116022246
Newbkg 0.999951 0.845345610616801 0.00203759108016671 0.769743351716089 0.00228677704936586
Newbkg 1.9999590000000003 0.712268892488503 0.00239228963321936 0.681669219114507 0.00259518827409067
Newbkg 4.999982999999999 0.264092404916597 0.00307037008769967 0.286550542983577 0.00310882235798274
